SKU,Category,Weight (lbs),Volume (cubic ft),Total Inventory Picks,7AM - 8AM,8AM - 9AM,9AM -10AM,10AM - 11AM,11AM - 12PM,12PM - 1PM,1PM - 2PM,2PM - 3PM,3PM - 4PM,4PM - 5PM,5PM - 6PM,6PM - 7PM,7PM - 8PM
57222,Clothing,0.58,5.92,127,5,5,6,9,19,24,20,25,7,4,3,0,0
39272,Electronics,15.22,3.32,276,8,23,49,28,22,23,25,24,15,16,21,17,5
86597,Clothing,0.38,2.22,214,0,0,0,0,1,10,32,36,31,31,44,19,10
63300,Clothing,0.39,5.25,126,9,12,12,8,12,16,27,17,9,3,1,0,0
56631,Home,48.93,15.53,215,0,0,0,0,3,9,37,24,54,42,30,14,2
19484,Office,4.19,5.91,278,7,28,47,20,21,24,24,16,25,25,19,17,5
16758,Sports,16.75,8.46,488,54,48,72,85,72,55,33,38,20,7,4,0,0
13150,Office,5.55,1.98,180,0,0,0,0,1,2,40,31,26,34,31,13,2
74693,Clothing,0.48,5.34,147,10,13,8,17,19,17,20,24,13,5,1,0,0
74516,Sports,8.92,9.52,110,5,11,6,12,20,18,15,10,8,5,0,0,0
18581,Home,40.98,79.15,232,0,0,0,0,2,8,35,30,55,55,29,12,6
35731,Hygiene,3.34,0.6,513,52,67,78,100,74,41,34,37,19,10,1,0,0
97582,Medical,3.42,2.35,437,51,57,55,97,52,42,39,23,13,7,1,0,0
70928,Electronics,4.51,0.91,268,7,22,49,26,25,26,15,16,19,16,21,19,7
79803,Electronics,3.89,1.74,312,180,47,45,17,12,7,4,0,0,0,0,0,0
95060,Home,19.06,52.35,345,156,77,70,29,5,4,4,0,0,0,0,0,0
11761,Home,12.52,0.34,272,6,24,47,17,30,19,15,24,23,20,23,19,5
70297,Sports,3.87,11.23,126,6,9,11,9,20,10,26,12,15,5,3,0,0
49217,Office,2.16,0.01,498,39,69,69,97,52,55,55,39,14,7,2,0,0
26426,Office,3.09,6.44,462,33,41,55,108,59,58,54,35,14,5,0,0,0
41058,Office,3.23,4.18,295,142,68,32,30,16,4,3,0,0,0,0,0,0
12561,Office,1.53,2.97,121,3,13,7,13,16,18,19,16,7,6,3,0,0
97088,Medical,3.37,3.09,255,5,30,45,15,23,17,17,25,18,16,18,20,6
48629,Home,21.45,10.29,523,40,69,63,100,76,68,52,25,17,9,4,0,0
29290,Medical,1.12,1.52,207,0,0,0,0,5,3,24,34,38,31,51,19,2
32611,Sports,15.97,14.1,229,0,0,0,0,0,9,29,27,49,53,33,19,10
16853,Sports,12.44,10.19,217,0,0,0,0,0,8,23,20,43,38,60,18,7
23307,Electronics,13.2,2.22,374,198,88,51,19,5,8,5,0,0,0,0,0,0
65349,Electronics,4.15,0.74,298,189,43,37,13,12,4,0,0,0,0,0,0,0
61256,Electronics,9.66,2.02,206,0,0,0,0,1,2,36,29,32,34,57,10,5
23507,Home,45.67,33.04,225,0,0,0,0,2,6,40,31,23,47,54,17,5
91712,Office,2.29,5.07,113,1,10,8,9,14,15,22,13,16,5,0,0,0
47963,Clothing,0.77,9.6,127,3,11,15,14,14,17,12,17,17,6,1,0,0
25412,Hygiene,3.04,0.41,307,163,68,33,23,9,8,3,0,0,0,0,0,0
28238,Hygiene,1.91,0.55,305,134,81,48,26,15,1,0,0,0,0,0,0,0
91106,Office,5.19,8.04,307,136,74,58,22,9,4,4,0,0,0,0,0,0
28147,Sports,12.21,4.92,335,176,88,34,15,14,7,1,0,0,0,0,0,0
50433,Hygiene,2.23,0.65,288,137,42,60,23,16,6,4,0,0,0,0,0,0
13390,Medical,0.08,3.25,120,9,9,10,14,9,18,12,19,15,5,0,0,0
84485,Home,21.4,57.68,277,4,17,50,23,23,16,25,23,24,24,22,19,7
32776,Hygiene,2.4,0.58,536,57,66,62,110,79,55,54,23,19,8,3,0,0
37421,Home,19.22,44.26,251,7,16,49,20,27,29,15,15,19,15,15,16,8
21848,Office,8.83,4.53,125,4,12,14,13,13,13,25,17,8,4,2,0,0
20848,Hygiene,2.44,0.61,528,37,67,80,104,70,51,59,39,11,5,5,0,0
63889,Clothing,0.39,3.53,224,0,0,0,0,2,6,31,36,32,58,32,17,10
23089,Hygiene,2.51,0.67,345,165,92,49,15,20,3,1,0,0,0,0,0,0
79685,Home,7.81,1.54,349,149,100,46,26,16,8,4,0,0,0,0,0,0
51159,Clothing,0.73,6.13,229,0,0,0,0,3,10,36,36,34,38,49,17,6
35635,Home,9.79,48.2,492,42,64,64,103,78,48,33,32,19,8,1,0,0
36584,Sports,4.28,1.16,112,2,10,15,14,8,15,15,11,13,6,3,0,0
11701,Hygiene,3.38,0.55,117,10,8,6,14,18,10,26,10,11,4,0,0,0
97366,Home,11.89,40.81,452,30,42,68,90,69,66,37,26,15,7,2,0,0
60033,Hygiene,2.76,0.51,446,30,49,78,102,53,52,38,25,12,6,1,0,0
74608,Sports,0.45,17.1,247,0,0,0,0,4,8,36,31,57,45,48,10,8
58076,Sports,23.93,16.6,273,8,22,44,23,21,30,23,15,24,17,23,17,6
90320,Office,6.33,5.1,475,51,66,67,108,51,47,31,24,17,10,3,0,0
66200,Hygiene,0.62,0.63,118,9,6,10,11,12,21,23,10,8,5,3,0,0
15323,Clothing,0.57,4.52,473,56,65,67,104,60,41,30,30,13,5,2,0,0
54976,Electronics,17.41,2.38,175,0,0,0,0,2,3,37,23,21,34,32,16,7
78466,Home,19,24.09,285,8,29,45,28,22,30,19,23,18,20,19,16,8
36194,Medical,3.67,1.14,462,41,41,58,93,62,52,54,31,18,8,4,0,0
80868,Electronics,19.7,1.32,522,59,52,72,105,75,51,47,38,15,6,2,0,0
15055,Home,19.76,11.42,279,128,71,40,27,5,6,2,0,0,0,0,0,0
51896,Medical,0.79,2.42,476,57,70,52,109,58,43,36,21,18,7,5,0,0
58237,Hygiene,1.23,0.53,245,6,16,45,18,21,16,24,15,18,23,24,15,4
95131,Electronics,7.43,2.07,117,10,7,7,17,17,11,12,21,8,6,1,0,0
92032,Clothing,0.52,2.17,449,54,54,52,87,62,55,35,20,16,9,5,0,0
24967,Hygiene,2.14,0.61,286,7,29,50,29,28,23,19,20,16,16,24,17,8
36004,Home,6.73,6.5,317,150,76,47,25,10,6,3,0,0,0,0,0,0
47923,Home,49.05,47.75,94,5,5,6,11,13,10,14,11,14,2,3,0,0
59533,Office,0.85,6.12,286,125,92,34,20,10,4,1,0,0,0,0,0,0
15466,Home,26,18.84,134,10,10,6,7,15,20,24,24,12,4,2,0,0
44382,Electronics,8.95,2.31,273,100,84,52,17,8,8,4,0,0,0,0,0,0
60642,Sports,11.21,11.64,286,111,82,55,17,12,5,4,0,0,0,0,0,0
43223,Medical,0.09,2.57,207,0,0,0,0,4,2,28,21,60,32,33,19,8
64989,Sports,9.28,7.08,112,3,7,14,11,16,10,13,24,8,3,3,0,0
39076,Medical,1.81,2.59,133,2,14,7,8,15,19,24,25,14,2,3,0,0
77859,Office,4.54,8.49,389,196,94,65,16,12,2,4,0,0,0,0,0,0
20736,Clothing,0.39,6.69,286,8,24,48,25,27,19,23,24,23,25,16,19,5
18942,Electronics,5.59,1.8,287,147,52,53,21,8,1,5,0,0,0,0,0,0
37165,Sports,6.06,16.69,125,7,5,8,10,17,15,24,24,9,4,2,0,0
95913,Hygiene,1.58,0.51,263,5,20,47,20,29,26,16,21,19,16,20,20,4
39198,Electronics,19.16,2.56,197,0,0,0,0,4,3,34,29,28,35,40,18,6
40276,Sports,16.53,4.76,187,0,0,0,0,3,6,17,23,36,56,24,17,5
78370,Hygiene,2,0.51,100,3,9,8,14,10,15,12,16,7,3,3,0,0
56527,Office,6.08,1.33,238,112,62,33,19,11,1,0,0,0,0,0,0,0
88368,Home,45.59,23.53,122,2,7,13,12,12,14,28,17,14,3,0,0,0
17294,Clothing,0.36,4.32,213,0,0,0,0,1,6,14,20,43,54,55,19,1
88051,Clothing,0.39,5.6,251,5,17,44,21,23,24,17,17,18,19,21,19,6
76879,Hygiene,0.74,0.46,257,0,0,0,0,0,4,33,34,51,52,56,20,7
39702,Sports,10.03,13.24,246,5,24,42,17,17,18,19,18,16,24,21,19,6
20523,Medical,0.33,1.09,131,6,11,15,12,18,14,27,11,13,2,2,0,0
30968,Home,48.87,3.24,121,5,10,7,8,16,20,16,21,13,3,2,0,0
47954,Sports,13.38,16.54,114,1,8,13,10,14,16,16,18,13,4,1,0,0
56347,Home,54.51,32.49,224,0,0,0,0,2,2,38,32,46,41,46,10,7
90428,Clothing,0.63,5.99,258,8,21,43,25,21,25,17,15,20,21,17,19,6
77005,Clothing,0.59,1.97,144,7,9,13,16,11,24,28,20,9,6,1,0,0
10649,Office,1.51,4.17,118,6,12,15,8,13,15,16,18,9,6,0,0,0
40556,Home,35.5,14.41,269,7,21,40,27,16,21,25,18,25,24,20,18,7
17883,Medical,2.03,1.5,198,0,0,0,0,5,9,27,30,32,42,37,12,4
18313,Hygiene,1.39,0.54,275,144,49,55,10,12,1,4,0,0,0,0,0,0
42492,Hygiene,0.92,0.54,115,6,12,10,10,15,21,12,13,11,2,3,0,0
59951,Hygiene,2.37,0.65,114,7,14,13,9,11,18,13,19,9,1,0,0,0
53930,Home,2.11,3.32,204,0,0,0,0,0,4,36,25,20,53,45,18,3
75133,Medical,2.77,1.56,189,0,0,0,0,1,6,20,28,30,53,28,15,8
23958,Clothing,0.29,6.94,434,37,62,54,83,63,43,42,23,16,6,5,0,0
47169,Home,52.55,56.77,218,0,0,0,0,4,5,36,23,35,44,44,20,7
76457,Electronics,11.54,1.47,224,0,0,0,0,2,5,28,29,41,34,59,16,10
58427,Electronics,8.14,1.6,473,45,49,76,101,53,50,48,20,19,9,3,0,0
29142,Electronics,11.64,2.03,147,4,14,6,16,20,24,25,13,17,5,3,0,0
25276,Home,51.97,9.03,246,4,15,50,16,16,20,24,25,18,20,17,17,4
24002,Hygiene,2.22,0.43,323,152,76,60,18,15,0,2,0,0,0,0,0,0
74880,Office,5.61,1.98,207,0,0,0,0,3,9,36,24,28,31,54,20,2
82027,Office,4.02,4.06,569,50,68,76,110,78,66,47,39,20,10,5,0,0
79712,Office,2.97,2.42,478,50,60,62,81,69,40,60,21,20,10,5,0,0
41010,Hygiene,1.37,0.58,279,7,30,43,26,26,22,22,21,17,20,21,17,7
27266,Medical,0.86,2.38,482,50,41,63,92,70,58,60,27,10,10,1,0,0
24551,Hygiene,0.45,0.59,355,199,68,54,21,5,5,3,0,0,0,0,0,0
53737,Hygiene,1.38,0.73,222,0,0,0,0,4,4,17,21,33,59,60,16,8
39070,Medical,1.13,1.28,219,0,0,0,0,0,10,26,36,43,49,34,19,2
54312,Office,3.59,5.19,107,1,5,15,8,16,18,14,15,12,2,1,0,0
58017,Hygiene,1.1,0.5,263,6,29,42,17,25,28,19,19,21,16,15,19,7
45645,Sports,8.27,7.25,125,5,10,8,15,17,12,23,17,9,6,3,0,0
37830,Home,45.66,52.11,271,8,19,40,29,25,26,16,19,18,23,22,20,6
64407,Hygiene,2.74,0.54,254,6,27,46,21,23,21,17,16,21,15,16,18,7
82613,Clothing,0.44,2.52,187,0,0,0,0,4,5,34,38,25,30,33,13,5
48041,Hygiene,0.54,0.33,141,7,11,9,13,19,24,27,13,11,4,3,0,0
22978,Electronics,7.31,1.57,263,5,15,49,26,27,19,24,15,24,16,19,17,7
72993,Sports,11.2,3.67,330,182,50,60,24,7,4,3,0,0,0,0,0,0
94092,Office,3.47,5.34,478,41,63,72,102,64,42,43,24,16,7,4,0,0
94327,Clothing,0.77,3.56,263,6,25,40,28,25,17,20,15,18,24,22,16,7
16027,Hygiene,2.13,0.53,509,37,62,74,88,72,67,55,27,17,5,5,0,0
53422,Clothing,0.53,2.44,259,4,18,44,29,18,17,20,23,16,21,23,18,8
47881,Clothing,0.44,4.12,110,2,7,11,14,13,11,26,11,10,3,2,0,0
74163,Medical,2.07,2.81,133,3,12,12,8,19,22,22,23,7,3,2,0,0
50788,Office,6.53,2.89,213,0,0,0,0,2,3,19,30,44,37,59,11,8
24515,Hygiene,4.1,0.59,124,10,6,14,7,18,15,17,16,17,4,0,0,0
57106,Hygiene,3.13,0.47,458,43,50,64,107,58,50,34,25,20,7,0,0,0
51922,Home,8.43,35.32,474,31,58,65,110,60,53,36,26,20,10,5,0,0
45088,Clothing,0.54,6.94,216,0,0,0,0,4,4,29,26,29,42,60,17,5
60735,Medical,2.24,0.1,252,0,0,0,0,3,5,25,35,46,60,58,19,1
76305,Medical,2.77,1.42,190,0,0,0,0,4,9,25,32,23,53,24,10,10
28815,Office,2.35,0.05,308,152,65,63,10,15,3,0,0,0,0,0,0,0
48668,Office,2.86,2.2,200,0,0,0,0,1,3,36,24,20,58,32,18,8
13120,Hygiene,2.73,0.53,357,200,73,46,25,5,5,3,0,0,0,0,0,0
80296,Hygiene,2.74,0.41,217,0,0,0,0,5,3,39,29,43,50,27,11,10
73307,Clothing,0.58,0.89,183,0,0,0,0,1,5,27,36,34,44,20,15,1
74735,Electronics,5.18,2.77,183,0,0,0,0,3,4,22,31,42,40,20,17,4
88073,Hygiene,2.31,0.45,437,49,48,53,85,59,61,33,21,17,10,1,0,0
81550,Home,14.27,43.49,521,36,67,68,105,77,61,46,37,12,9,3,0,0
52693,Electronics,14.18,3.07,510,56,70,53,103,80,49,36,39,12,10,2,0,0
30497,Office,4.15,4.24,256,6,21,43,25,19,16,22,23,24,19,16,17,5
39941,Electronics,15.29,0.17,464,33,57,64,89,72,42,43,38,13,8,5,0,0
36491,Hygiene,1.68,0.39,319,167,48,65,25,4,7,3,0,0,0,0,0,0
35682,Home,57.45,16.5,310,139,73,66,18,4,5,5,0,0,0,0,0,0
17214,Sports,13.16,11.96,486,41,58,64,96,60,56,45,35,19,8,4,0,0
86156,Medical,2.93,1.96,113,9,7,14,9,15,15,16,17,9,2,0,0,0
26062,Clothing,0.5,3.09,268,4,16,44,26,28,28,21,19,21,15,23,19,4
54109,Electronics,15.66,1.38,125,6,14,10,11,17,19,16,15,11,4,2,0,0
50617,Hygiene,3.09,0.51,127,8,10,13,16,9,19,15,17,13,4,3,0,0
47806,Office,8.48,6.63,239,93,71,38,20,9,8,0,0,0,0,0,0,0
44835,Electronics,6.84,1.61,122,7,7,13,10,17,18,18,13,16,3,0,0,0
40838,Medical,3.36,2.11,214,0,0,0,0,0,2,29,24,47,43,47,12,10
74069,Hygiene,1.03,0.53,476,49,50,79,94,62,54,30,34,14,10,0,0,0
50755,Electronics,10.13,1.83,260,8,19,44,21,15,23,21,20,21,23,19,18,8
94237,Home,42.16,34.38,303,192,41,35,23,6,5,1,0,0,0,0,0,0
71600,Hygiene,1.87,0.45,212,0,0,0,0,3,3,31,31,43,41,38,16,6
39664,Clothing,0.46,2.92,220,0,0,0,0,3,7,17,39,38,42,55,17,2
23751,Sports,5.23,17.96,455,60,50,59,85,67,46,47,20,12,5,4,0,0
84982,Sports,6.51,15.1,108,6,7,8,11,8,16,27,10,13,1,1,0,0
44842,Home,31.73,61.29,322,170,43,64,21,16,6,2,0,0,0,0,0,0
42849,Office,2,5.29,477,35,45,69,97,72,54,50,30,17,5,3,0,0
62882,Home,35.02,12.95,215,0,0,0,0,0,7,38,24,51,35,38,19,3
47227,Hygiene,1.5,0.37,239,5,21,42,17,22,25,16,15,15,15,18,20,8
37833,Electronics,17.61,2.34,458,39,65,72,84,51,43,51,28,13,8,4,0,0
56927,Office,2.36,5.21,270,95,74,68,23,4,3,3,0,0,0,0,0,0
52663,Sports,12.13,14.25,206,0,0,0,0,0,4,36,34,50,34,29,10,9
95874,Electronics,12.17,1.83,408,31,46,62,81,54,46,43,23,12,10,0,0,0
32124,Medical,2.56,3.83,278,8,21,46,16,26,27,22,25,25,23,20,15,4
97355,Clothing,0.56,2.36,153,9,10,11,15,19,25,28,25,9,2,0,0,0
74752,Hygiene,0.86,0.42,119,2,10,10,11,18,12,27,14,11,2,2,0,0
17466,Sports,7.53,19.8,289,8,22,44,30,30,20,25,21,25,20,22,18,4
10855,Clothing,0.42,1.63,114,6,8,15,8,14,21,15,18,7,1,1,0,0
82267,Clothing,0.67,8.65,265,83,88,55,20,12,4,3,0,0,0,0,0,0
43874,Office,3,6.47,205,0,0,0,0,5,7,21,20,49,30,53,19,1
54265,Hygiene,1.09,0.45,106,1,8,7,7,18,19,16,18,10,2,0,0,0
76558,Medical,1.29,2.88,501,60,68,70,84,61,55,43,35,14,8,3,0,0
94228,Clothing,0.52,3.57,493,49,60,74,84,65,56,58,26,12,6,3,0,0
11439,Hygiene,1.11,0.41,229,0,0,0,0,1,9,31,39,37,45,47,17,3
73401,Medical,2.06,1.83,247,6,16,48,19,15,25,17,23,17,18,20,18,5
62682,Office,2.66,5.43,183,0,0,0,0,3,5,22,22,29,34,48,13,7
13720,Hygiene,2.73,0.54,259,4,26,42,25,26,24,21,20,15,18,19,15,4
26858,Home,48.9,37.45,485,42,51,73,108,77,50,33,23,15,10,3,0,0
82705,Electronics,8.88,3.55,261,0,0,0,0,5,8,29,35,60,60,40,19,5
74377,Clothing,0.5,1.48,486,49,46,64,96,77,50,48,32,15,8,1,0,0
60912,Electronics,14.84,2.14,115,5,5,15,7,15,18,14,23,12,1,0,0,0
59985,Clothing,0.4,3.49,313,164,56,57,18,11,5,2,0,0,0,0,0,0
17514,Hygiene,1.77,0.34,249,101,81,35,11,7,10,4,0,0,0,0,0,0
95236,Office,4.82,6.28,302,151,62,49,21,18,0,1,0,0,0,0,0,0
97807,Hygiene,2.67,0.54,309,151,99,34,10,7,5,3,0,0,0,0,0,0
60795,Office,2.45,1.15,121,2,7,6,17,8,13,26,24,14,2,2,0,0
33642,Electronics,10.07,2.42,270,88,84,57,14,13,9,5,0,0,0,0,0,0
61999,Home,5.34,35.13,128,6,8,15,13,20,20,15,10,14,5,2,0,0
42133,Electronics,12.17,0.1,481,46,44,58,103,54,52,60,33,19,10,2,0,0
14299,Clothing,0.59,4.62,293,174,40,47,18,13,0,1,0,0,0,0,0,0
23405,Office,3.49,3.82,142,6,8,15,13,13,23,17,24,15,6,2,0,0
14045,Hygiene,1.7,0.56,351,190,84,38,15,10,9,5,0,0,0,0,0,0
51985,Office,4.02,3.82,479,46,47,78,105,51,49,48,32,12,9,2,0,0
25555,Sports,7.33,14.49,442,33,45,54,93,54,51,56,37,10,6,3,0,0
52990,Sports,9.57,4.94,172,0,0,0,0,4,9,17,22,25,34,34,19,8
18351,Clothing,0.49,3.15,106,7,14,11,7,8,12,13,14,15,5,0,0,0
97671,Hygiene,1.4,0.62,163,0,0,0,0,4,4,14,20,33,31,35,13,9
78391,Hygiene,3.6,0.45,127,4,12,12,13,9,11,22,21,15,5,3,0,0
90436,Hygiene,1.93,0.55,456,50,45,56,92,72,45,45,26,18,6,1,0,0
17116,Electronics,9.58,0.29,116,3,6,7,12,16,19,19,17,15,1,1,0,0
85499,Sports,10.89,2.46,292,4,29,47,28,27,29,23,24,22,16,20,15,8
29988,Home,47.46,41.64,113,6,6,12,12,12,19,16,11,13,3,3,0,0
27111,Sports,21.83,14.76,236,4,18,40,18,15,21,18,17,18,22,24,17,4
75419,Medical,1.58,1.88,279,7,24,47,30,25,28,16,24,20,19,19,16,4
20714,Sports,15.28,16.84,485,55,64,80,95,51,48,31,39,12,8,2,0,0
86476,Clothing,0.52,5.1,331,143,98,48,29,7,4,2,0,0,0,0,0,0
10573,Electronics,7.36,1,241,4,16,47,19,16,22,23,16,21,15,21,15,6
17622,Clothing,0.6,7.95,132,9,9,15,10,14,17,23,13,16,5,1,0,0
32444,Office,4.46,4.29,122,8,12,11,12,19,11,18,17,9,2,3,0,0
84355,Clothing,0.51,3.95,216,0,0,0,0,0,5,10,36,49,51,42,18,5
60716,Clothing,0.4,4.89,292,5,23,50,27,29,30,25,19,25,15,20,19,5
20912,Hygiene,0.07,0.55,134,7,12,6,9,11,18,27,24,13,4,3,0,0
34075,Hygiene,2.42,0.42,492,52,48,80,108,71,41,46,24,15,5,2,0,0
46220,Hygiene,3.09,0.46,259,7,15,42,23,15,20,23,25,21,22,21,17,8
79212,Sports,10.16,16.51,135,7,7,6,17,17,24,17,23,9,5,3,0,0
89709,Clothing,0.52,7.66,284,100,94,39,26,12,8,5,0,0,0,0,0,0
29225,Home,29.26,48.66,280,8,24,43,28,28,29,17,19,17,25,18,18,6
88498,Clothing,0.44,3.38,260,7,29,45,25,20,19,21,16,16,22,19,16,5
33205,Clothing,0.62,4.73,119,7,8,13,11,14,11,17,22,10,6,0,0,0
16351,Clothing,0.51,4.31,449,35,40,61,93,63,54,57,24,16,5,1,0,0
68560,Medical,3.14,2.54,116,5,9,10,12,10,18,14,21,15,2,0,0,0
33246,Electronics,8.49,1.76,481,55,52,70,82,59,52,51,30,20,10,0,0,0
86085,Office,3.96,2.64,132,3,12,9,8,15,21,21,19,17,4,3,0,0
84080,Medical,2.38,1.63,119,2,14,14,15,10,19,26,10,8,1,0,0,0
25855,Medical,0.8,2.86,268,6,28,42,30,24,15,18,20,18,22,17,20,8
33306,Medical,3.22,1.81,444,37,43,63,98,54,42,60,25,11,10,1,0,0
86829,Medical,2.23,3.33,307,154,54,51,27,20,1,0,0,0,0,0,0,0
97220,Medical,3.21,2.22,323,142,80,50,26,14,10,1,0,0,0,0,0,0
60044,Hygiene,1.46,0.54,480,33,52,79,97,69,41,56,25,16,7,5,0,0
90833,Electronics,9.95,3.12,278,130,44,70,21,6,2,5,0,0,0,0,0,0
47158,Hygiene,2.15,0.26,261,8,28,43,16,23,23,20,18,15,19,24,19,5
23426,Electronics,5.07,1.41,244,0,0,0,0,4,3,35,29,56,52,52,12,1
43440,Sports,16.33,14.53,341,176,87,43,17,14,2,2,0,0,0,0,0,0
59547,Hygiene,1.91,0.59,315,156,70,45,26,15,0,3,0,0,0,0,0,0
63518,Home,57.16,38.96,277,80,97,52,29,13,6,0,0,0,0,0,0,0
29913,Hygiene,2.05,0.42,480,52,62,64,102,62,54,34,21,17,8,4,0,0
95403,Medical,2.06,0.44,216,0,0,0,0,2,5,30,21,26,57,57,15,3
41741,Clothing,0.71,5.03,467,45,58,55,92,51,70,36,34,18,7,1,0,0
24279,Hygiene,2.37,0.44,497,58,50,57,95,78,56,47,30,15,8,3,0,0
30856,Medical,2.91,2.78,168,0,0,0,0,3,9,10,27,29,40,30,19,1
73954,Clothing,0.55,4.58,458,35,57,55,90,62,54,60,22,10,9,4,0,0
19487,Electronics,11.95,2.03,363,178,99,60,14,11,0,1,0,0,0,0,0,0
52424,Electronics,16.57,2.42,256,6,17,42,27,28,19,18,17,17,23,22,15,5
74468,Home,61.91,31.23,182,0,0,0,0,0,10,24,26,26,50,21,15,10
72371,Office,5.03,6.41,457,46,44,53,91,72,59,45,30,12,5,0,0,0
63447,Medical,2.57,2.77,505,51,58,53,96,76,60,54,39,12,6,0,0,0
30111,Clothing,0.47,3.46,222,0,0,0,0,2,8,35,25,32,54,37,20,9
